03/04/2022 20:39,
119.9,
32,
,
wavenumber / cm-1,Absorbance
3999.881,-0.01261861
3999.76,-0.01257436
3999.639,-0.0125487
3999.519,-0.01253789
3999.398,-0.01254027
3999.278,-0.01255739
3999.157,-0.01259322
3999.037,-0.012649
3998.916,-0.01272179
3998.796,-0.01280068
3998.675,-0.01287087
3998.555,-0.01291954
3998.434,-0.01293935
3998.314,-0.01293321
3998.193,-0.01291311
3998.073,-0.01289522
3997.952,-0.01289249
3997.832,-0.01291005
3997.711,-0.0129425
3997.59,-0.01297762
3997.47,-0.01300225
3997.349,-0.01300717
3997.229,-0.01299145
3997.108,-0.01296154
3996.988,-0.01292764
3996.867,-0.01289873
3996.747,-0.01287969
3996.626,-0.01286959
3996.506,-0.01286441
3996.385,-0.01285849
3996.265,-0.01284762
3996.144,-0.01282999
3996.024,-0.01280528
3995.903,-0.01277414
3995.782,-0.01273726
3995.662,-0.01269682
3995.542,-0.01265627
3995.421,-0.01262122
3995.3,-0.01259879
3995.18,-0.01259521
3995.059,-0.01261182
3994.939,-0.01264555
3994.818,-0.01268781
3994.698,-0.01272858
3994.577,-0.01275898
3994.457,-0.0127752
3994.336,-0.01277826
3994.216,-0.01277221
3994.095,-0.01276101
3993.975,-0.01274508
3993.854,-0.01272079
3993.733,-0.01268327
3993.613,-0.01262846
3993.492,-0.01255842
3993.372,-0.01248148
3993.251,-0.01241087
3993.131,-0.01236157
3993.01,-0.01234431
3992.89,-0.01236247
3992.769,-0.01241158
3992.649,-0.01248045
3992.528,-0.01255543
3992.408,-0.01262267
3992.287,-0.01267332
3992.167,-0.01270219
3992.046,-0.01270927
3991.926,-0.0126981
3991.805,-0.01267487
3991.685,-0.01264777
3991.564,-0.01262479
3991.443,-0.01261211
3991.323,-0.01261327
3991.202,-0.01262763
3991.082,-0.01265044
3990.961,-0.01267519
3990.841,-0.01269666
3990.72,-0.01271213
3990.6,-0.01272278
3990.479,-0.01273215
3990.359,-0.01274396
3990.238,-0.01275824
3990.118,-0.0127714
3989.997,-0.01277668
3989.876,-0.01276738
3989.756,-0.01274164
3989.635,-0.01270383
3989.515,-0.01266335
3989.395,-0.01263255
3989.274,-0.01262122
3989.153,-0.01263232
3989.033,-0.01266065
3988.912,-0.01269505
3988.792,-0.01272285
3988.671,-0.01273337
3988.551,-0.01272278
3988.43,-0.01269244
3988.31,-0.01264864
3988.189,-0.01259966
3988.069,-0.01255218
3987.948,-0.01251175
3987.828,-0.01248242
3987.707,-0.01246761
3987.586,-0.01247099
3987.466,-0.01249494
3987.345,-0.01253853
3987.225,-0.01259663
3987.104,-0.01265974
3986.984,-0.01271542
3986.863,-0.01275139
3986.743,-0.0127604
3986.622,-0.01274074
3986.502,-0.01269891
3986.381,-0.01264677
3986.261,-0.01259763
3986.14,-0.01256451
3986.02,-0.01255549
3985.899,-0.01257358
3985.779,-0.01261556
3985.658,-0.01267538
3985.538,-0.01274306
3985.417,-0.01280892
3985.296,-0.01286492
3985.176,-0.01290551
3985.055,-0.01292858
3984.935,-0.01293498
3984.814,-0.01292777
3984.694,-0.01291034
3984.573,-0.01288641
3984.453,-0.01285878
3984.332,-0.01283063
3984.212,-0.01280702
3984.091,-0.01279389
3983.971,-0.01279891
3983.85,-0.01282751
3983.729,-0.01288078
3983.609,-0.01295244
3983.489,-0.01303077
3983.368,-0.01309916
3983.248,-0.01314266
3983.127,-0.01315346
3983.006,-0.01313276
3982.886,-0.01309061
3982.765,-0.01304122
3982.645,-0.01299752
3982.524,-0.01296472
3982.404,-0.01293964
3982.283,-0.0129123
3982.163,-0.01287087
3982.042,-0.01280898
3981.922,-0.01272751
3981.801,-0.01263461
3981.681,-0.01254342
3981.56,-0.0124659
3981.439,-0.01240865
3981.319,-0.01237268
3981.198,-0.01235397
3981.078,-0.01234766
3980.958,-0.01235123
3980.837,-0.01236482
3980.716,-0.01239139
3980.596,-0.01243274
3980.475,-0.01248815
3980.355,-0.01255266
3980.234,-0.01261916
3980.114,-0.0126797
3979.993,-0.01272883
3979.873,-0.01276394
3979.752,-0.01278479
3979.632,-0.01279248
3979.511,-0.012788
3979.391,-0.01277246
3979.27,-0.01274698
3979.149,-0.01271435
3979.029,-0.01267896
3978.908,-0.012646
3978.788,-0.01261968
3978.667,-0.01260207
3978.547,-0.01259093
3978.426,-0.01258256
3978.306,-0.01257268
3978.185,-0.01255871
3978.065,-0.01254136
3977.944,-0.01252324
3977.824,-0.01250785
3977.703,-0.01249719
3977.583,-0.01249121
3977.462,-0.01248725
3977.342,-0.01248335
3977.221,-0.01247939
3977.101,-0.01247646
3976.98,-0.01247736
3976.859,-0.01248396
3976.739,-0.01249568
3976.618,-0.01250962
3976.498,-0.01252279
3976.377,-0.01253341
3976.257,-0.01254281
3976.136,-0.01255533
3976.016,-0.01257555
3975.895,-0.01260484
3975.775,-0.01263963
3975.654,-0.0126713
3975.534,-0.01268922
3975.413,-0.01268636
3975.292,-0.01266155
3975.172,-0.01262006
3975.052,-0.01257175
3974.931,-0.01252552
3974.811,-0.01248554
3974.69,-0.01244942
3974.569,-0.01241065
3974.449,-0.01236431
3974.328,-0.0123113
3974.208,-0.01226102
3974.087,-0.01222765
3973.967,-0.01222658
3973.846,-0.01226669
3973.726,-0.01234676
3973.605,-0.01245534
3973.485,-0.01257526
3973.364,-0.0126898
3973.244,-0.01278713
3973.123,-0.01286315
3973.002,-0.01291819
3972.882,-0.01295546
3972.761,-0.01297723
3972.641,-0.01298315
3972.52,-0.0129735
3972.4,-0.01295125
3972.279,-0.0129225
3972.159,-0.01289709
3972.038,-0.01288396
3971.918,-0.01288641
3971.797,-0.0129003
3971.677,-0.01291516
3971.556,-0.01291812
3971.436,-0.01289937
3971.315,-0.01285707
3971.195,-0.01279679
3971.074,-0.01272964
3970.954,-0.01266589
3970.833,-0.01261082
3970.712,-0.01256364
3970.592,-0.01251928
3970.471,-0.01247244
3970.351,-0.01242179
3970.23,-0.01237172
3970.11,-0.01232975
3969.989,-0.01230299
3969.869,-0.01229423
3969.748,-0.01229967
3969.628,-0.01231114
3969.507,-0.01232099
3969.387,-0.01232544
3969.266,-0.0123275
3969.146,-0.01233532
3969.025,-0.0123588
3968.905,-0.01240363
3968.784,-0.01247009
3968.663,-0.01255005
3968.543,-0.01263129
3968.422,-0.01270142
3968.302,-0.01275058
3968.181,-0.01277417
3968.061,-0.01277324
3967.94,-0.012753
3967.82,-0.01272069
3967.699,-0.01268478
3967.579,-0.01265347
3967.458,-0.01263274
3967.338,-0.01262557
3967.217,-0.01262956
3967.097,-0.01263818
3966.976,-0.01264188
3966.855,-0.01263142
3966.735,-0.01260313
3966.615,-0.01256167
3966.494,-0.01251928
3966.373,-0.01249262
3966.253,-0.01249575
3966.132,-0.01253457
3966.012,-0.01260281
3965.891,-0.01268485
3965.771,-0.01275976
3965.65,-0.01281117
3965.53,-0.01283182
3965.409,-0.01282561
3965.289,-0.01280383
3965.168,-0.0127797
3965.048,-0.01276181
3964.927,-0.01274994
3964.806,-0.01273778
3964.686,-0.0127168
3964.565,-0.01268208
3964.445,-0.01263567
3964.324,-0.01258681
3964.204,-0.01254671
3964.083,-0.01252552
3963.963,-0.01252633
3963.842,-0.01254574
3963.722,-0.01257497
3963.601,-0.01260458
3963.481,-0.01262792
3963.36,-0.01264204
3963.24,-0.01264732
3963.119,-0.01264426
3962.999,-0.01263184
3962.878,-0.0126077
3962.758,-0.01256892
3962.637,-0.01251484
3962.516,-0.01244942
3962.396,-0.01238154
3962.275,-0.0123236
3962.155,-0.01228869
3962.034,-0.01228634
3961.914,-0.01232135
3961.793,-0.01239229
3961.673,-0.01249095
3961.552,-0.01260358
3961.432,-0.01271416
3961.311,-0.01280415
3961.191,-0.01285646
3961.07,-0.01286013
3960.949,-0.01281171
3960.829,-0.01271883
3960.708,-0.01259875
3960.588,-0.01247656
3960.468,-0.01237825
3960.347,-0.01232305
3960.226,-0.01232038
3960.106,-0.01236624
3959.985,-0.01244678
3959.865,-0.01254101
3959.744,-0.01262856
3959.624,-0.0126955
3959.503,-0.01273437
3959.383,-0.01274576
3959.262,-0.01273566
3959.142,-0.01271278
3959.021,-0.01268584
3958.901,-0.01266242
3958.78,-0.01264867
3958.659,-0.01264842
3958.539,-0.01266316
3958.418,-0.01269193
3958.298,-0.01273118
3958.177,-0.01277597
3958.057,-0.01282178
3957.936,-0.01286605
3957.816,-0.01290828
3957.695,-0.01294964
3957.575,-0.0129908
3957.454,-0.01302984
3957.334,-0.01306158
3957.213,-0.013079
3957.093,-0.01307521
3956.972,-0.01304708
3956.852,-0.01299701
3956.731,-0.0129334
3956.611,-0.01286807
3956.49,-0.01281232
3956.369,-0.01277459
3956.249,-0.01275763
3956.128,-0.01275921
3956.008,-0.01277336
3955.887,-0.01279328
3955.767,-0.01281249
3955.646,-0.01282471
3955.526,-0.01282619
3955.405,-0.01281313
3955.285,-0.01278369
3955.164,-0.01273965
3955.044,-0.01268539
3954.923,-0.01262991
3954.802,-0.01258347
3954.682,-0.01255469
3954.562,-0.01254825
3954.441,-0.01256325
3954.321,-0.01259315
3954.2,-0.01262952
3954.079,-0.01266563
3953.959,-0.01269875
3953.838,-0.01273099
3953.718,-0.01276764
3953.597,-0.01281368
3953.477,-0.01287039
3953.356,-0.01293498
3953.236,-0.01299929
3953.115,-0.0130537
3952.995,-0.01309026
3952.874,-0.01310402
3952.754,-0.01309389
3952.633,-0.0130629
3952.512,-0.01301547
3952.392,-0.01295697
3952.271,-0.01289265
3952.151,-0.01282812
3952.031,-0.0127687
3951.91,-0.01272008
3951.789,-0.01268736
