23/03/2022 15:21,
150.1,
32,
,
wavenumber / cm-1,Absorbance
3999.881,0.000348644
3999.76,0.000341746
3999.639,0.000300497
3999.519,0.000233757
3999.398,0.000156222
3999.278,8.15837E-05
3999.157,0.000020643
3999.037,-2.25306E-05
3998.916,-4.69484E-05
3998.796,-5.52972E-05
3998.675,-4.95988E-05
3998.555,-3.18407E-05
3998.434,-5.13575E-06
3998.314,2.61767E-05
3998.193,5.65304E-05
3998.073,8.02581E-05
3997.952,9.42103E-05
3997.832,9.91815E-05
3997.711,9.87507E-05
3997.59,9.73919E-05
3997.47,9.78227E-05
3997.349,9.85518E-05
3997.229,9.50388E-05
3997.108,8.23128E-05
3996.988,5.81541E-05
3996.867,2.61104E-05
3996.747,-5.16888E-06
3996.626,-2.4386E-05
3996.506,-2.35577E-05
3996.385,-3.98E-07
3996.265,3.89342E-05
3996.144,8.36715E-05
3996.024,0.000122083
3995.903,0.000146179
3995.782,0.000155261
3995.662,0.000155161
3995.542,0.000155393
3995.421,0.000164442
3995.3,0.000186983
3995.18,0.000222121
3995.059,0.000264225
3994.939,0.000305106
3994.818,0.000336806
3994.698,0.000353054
3994.577,0.000349904
3994.457,0.000327289
3994.336,0.000287036
3994.216,0.000234652
3994.095,0.000177303
3993.975,0.000122779
3993.854,7.84354E-05
3993.733,4.76494E-05
3993.613,2.94903E-05
3993.492,1.93176E-05
3993.372,1.11332E-05
3993.251,8.95E-07
3993.131,-1.14974E-05
3993.01,-2.22655E-05
3992.89,-2.61088E-05
3992.769,-1.92173E-05
3992.649,-3.67786E-06
3992.528,1.36183E-05
3992.408,2.22667E-05
3992.287,1.50763E-05
3992.167,-8.7473E-06
3992.046,-4.06867E-05
3991.926,-6.61968E-05
3991.805,-6.94765E-05
3991.685,-4.01566E-05
3991.564,2.2101E-05
3991.443,0.000106705
3991.323,0.000196198
3991.202,0.00027374
3991.082,0.000326493
3990.961,0.000350799
3990.841,0.000350633
3990.72,0.00033465
3990.6,0.000311804
3990.479,0.00028876
3990.359,0.000269729
3990.238,0.000256666
3990.118,0.000252058
3989.997,0.000257462
3989.876,0.000273608
3989.756,0.000297248
3989.635,0.000321586
3989.515,0.000336971
3989.395,0.000334484
3989.274,0.000309848
3989.153,0.000266082
3989.033,0.000213204
3988.912,0.000165039
3988.792,0.000132623
3988.671,0.000121785
3988.551,0.000129971
3988.43,0.000149195
3988.31,0.000169083
3988.189,0.000181878
3988.069,0.000185756
3987.948,0.00018327
3987.828,0.000179955
3987.707,0.000179458
3987.586,0.00018211
3987.466,0.000184463
3987.345,0.000181414
3987.225,0.000169315
3987.104,0.000148764
3986.984,0.000123873
3986.863,0.000101767
3986.743,8.99351E-05
3986.622,9.29178E-05
3986.502,0.000111345
3986.381,0.000142732
3986.261,0.000181878
3986.14,0.000222386
3986.02,0.000258522
3985.899,0.000285908
3985.779,0.000301691
3985.658,0.000305371
3985.538,0.000298044
3985.417,0.000282526
3985.296,0.000262203
3985.176,0.000238995
3985.055,0.000212673
3984.935,0.000180519
3984.814,0.000137793
3984.694,0.000080954
3984.573,9.47644E-06
3984.453,-7.24912E-05
3984.332,-0.000156265
3984.212,-0.000231578
3984.091,-0.000288634
3983.971,-0.000321646
3983.85,-0.000329294
3983.729,-0.000313832
3983.609,-0.00027923
3983.489,-0.000228664
3983.368,-0.000165572
3983.248,-9.49518E-05
3983.127,-2.34583E-05
3983.006,3.81058E-05
3982.886,7.75737E-05
3982.765,8.66873E-05
3982.645,6.3622E-05
3982.524,1.69318E-05
3982.404,-3.58164E-05
3982.283,-7.28225E-05
3982.163,-7.6566E-05
3982.042,-3.95934E-05
3981.922,3.20087E-05
3981.801,0.000121652
3981.681,0.000208065
3981.56,0.00027195
3981.439,0.000303481
3981.319,0.000302487
3981.198,0.000276559
3981.078,0.000235548
3980.958,0.000187778
3980.837,0.000138357
3980.716,8.87089E-05
3980.596,4.14858E-05
