23/03/2022 14:49,
39.7,
32,
,
wavenumber / cm-1,Absorbance
3999.881,0.000174817
3999.76,0.000160664
3999.639,0.000120658
3999.519,6.32575E-05
3999.398,-5.63E-07
3999.278,-6.15587E-05
3999.157,-0.000112707
3999.037,-0.000152092
3998.916,-0.000179053
3998.796,-0.000194553
3998.675,-0.000198825
3998.555,-0.000191837
3998.434,-0.00017372
3998.314,-0.000146328
3998.193,-0.00011284
3998.073,-7.80237E-05
3997.952,-4.69153E-05
3997.832,-2.31269E-05
3997.711,-9.47623E-06
3997.59,-7.88583E-06
3997.47,-1.93499E-05
3997.349,-4.46624E-05
3997.229,-8.34566E-05
3997.108,-0.00013245
3996.988,-0.000184849
3996.867,-0.000230982
3996.747,-0.000259031
3996.626,-0.000258468
3996.506,-0.000224856
3996.385,-0.00016014
3996.265,-7.51084E-05
3996.144,1.54076E-05
3996.024,9.45086E-05
3995.903,0.000148134
3995.782,0.000168486
3995.662,0.000154432
3995.542,0.000111411
3995.421,4.8279E-05
3995.3,-2.43197E-05
3995.18,-9.61775E-05
3995.059,-0.000160372
3994.939,-0.000211642
3994.818,-0.000247772
3994.698,-0.000269296
3994.577,-0.000277839
3994.457,-0.000275091
3994.336,-0.000262674
3994.216,-0.000240553
3994.095,-0.000207933
3993.975,-0.000164049
3993.854,-0.000110091
3993.733,-4.96982E-05
3993.613,9.90719E-06
3993.492,5.92146E-05
3993.372,9.01671E-05
3993.251,9.70936E-05
3993.131,8.01918E-05
3993.01,4.39711E-05
3992.89,-3.51219E-06
3992.769,-5.40051E-05
3992.649,-0.000102604
3992.528,-0.000148051
3992.408,-0.0001924
3992.287,-0.000237473
3992.167,-0.000283038
3992.046,-0.000324327
3991.926,-0.000353032
3991.805,-0.000360283
3991.685,-0.000339557
3991.564,-0.000289926
3991.443,-0.000217868
3991.323,-0.00013553
3991.202,-5.62248E-05
3991.082,6.69313E-06
3990.961,4.42362E-05
3990.841,5.42107E-05
3990.72,3.89011E-05
3990.6,5.40088E-06
3990.479,-3.6711E-05
3990.359,-7.61354E-05
3990.238,-0.000102703
3990.118,-0.000107209
3989.997,-8.46492E-05
3989.876,-3.42261E-05
3989.756,3.79401E-05
3989.635,0.000120194
3989.515,0.000197557
3989.395,0.000254809
3989.274,0.000279675
3989.153,0.000267574
3989.033,0.000221657
3988.912,0.00015251
3988.792,7.40278E-05
3988.671,8.28E-07
3988.551,-5.54297E-05
3988.43,-8.96515E-05
3988.31,-0.000102074
3988.189,-9.86288E-05
3988.069,-8.60406E-05
3987.948,-7.23256E-05
3987.828,-6.23207E-05
3987.707,-5.81464E-05
3987.586,-5.82789E-05
3987.466,-5.9339E-05
3987.345,-5.72519E-05
3987.225,-4.87043E-05
3987.104,-3.29671E-05
3986.984,-1.1663E-05
3986.863,1.11332E-05
3986.743,3.0385E-05
3986.622,4.21154E-05
3986.502,4.31758E-05
3986.381,3.31684E-05
3986.261,1.41485E-05
3986.14,-1.05696E-05
3986.02,-3.6711E-05
3985.899,-5.99353E-05
3985.779,-7.60028E-05
3985.658,-8.19328E-05
3985.538,-7.61022E-05
3985.417,-6.02004E-05
3985.296,-3.85001E-05
3985.176,-1.94161E-05
3985.055,-1.3154E-05
3984.935,-2.79974E-05
3984.814,-6.8814E-05
3984.694,-0.000132152
3984.573,-0.000207701
3984.453,-0.000279363
3984.332,-0.000330552
3984.212,-0.00035045
3984.091,-0.000337372
3983.971,-0.000299693
3983.85,-0.00025211
3983.729,-0.000211178
3983.609,-0.000188889
3983.489,-0.000188525
3983.368,-0.000205283
3983.248,-0.000229856
3983.127,-0.000253402
3983.006,-0.000270356
3982.886,-0.000280985
3982.765,-0.000288634
3982.645,-0.00029625
3982.524,-0.000303005
3982.404,-0.000303832
3982.283,-0.000290356
3982.163,-0.000257177
3982.042,-0.000203429
3981.922,-0.000136921
3981.801,-7.09342E-05
3981.681,-2.0145E-05
3981.56,3.54536E-06
3981.439,-4.34054E-06
3981.319,-4.03885E-05
3981.198,-9.54487E-05
3981.078,-0.000159213
3980.958,-0.000223134
3980.837,-0.000281349
3980.716,-0.000332207
3980.596,-0.000373724
3980.475,-0.000403518
3980.355,-0.00041805
3980.234,-0.000413151
3980.114,-0.000386734
3979.993,-0.000340683
3979.873,-0.000281614
3979.752,-0.000218696
3979.632,-0.000161035
3979.511,-0.000115788
3979.391,-8.52124E-05
3979.27,-6.77207E-05
3979.149,-5.90077E-05
3979.029,-5.4469E-05
3978.908,-5.09572E-05
3978.788,-4.67496E-05
3978.667,-4.14818E-05
3978.547,-3.5452E-05
3978.426,-2.83287E-05
3978.306,-1.95818E-05
3978.185,-9.27743E-06
3978.065,1.78924E-06
3977.944,1.24917E-05
3977.824,2.03116E-05
3977.703,2.35258E-05
3977.583,2.12394E-05
3977.462,1.28562E-05
3977.342,-6.63E-07
3977.221,-1.81239E-05
3977.101,-3.79368E-05
3976.98,-5.76825E-05
3976.859,-7.35182E-05
3976.739,-8.06076E-05
3976.618,-7.38164E-05
3976.498,-4.93007E-05
3976.377,-6.89183E-06
3976.257,4.755E-05
3976.136,0.000104716
3976.016,0.000150886
3975.895,0.00017379
3975.775,0.000165768
3975.654,0.00012606
3975.534,6.21639E-05
3975.413,-1.34522E-05
3975.292,-8.52124E-05
3975.172,-0.000139306
3975.052,-0.000166566
3974.931,-0.00016342
3974.811,-0.00013245
3974.69,-8.01438E-05
3974.569,-1.6401E-05
3974.449,4.78151E-05
3974.328,0.000102363
3974.208,0.00013786
3974.087,0.000148599
3973.967,0.000133617
3973.846,9.75576E-05
3973.726,4.94057E-05
3973.605,2.65073E-06
3973.485,-2.9422E-05
3973.364,-3.6976E-05
3973.244,-1.56721E-05
3973.123,3.14453E-05
3973.002,9.53371E-05
3972.882,0.000162918
3972.761,0.00022
3972.641,0.000255506
3972.52,0.000262667
3972.4,0.000240222
3972.279,0.000191855
3972.159,0.000124834
3972.038,4.86766E-05
3971.918,-2.79974E-05
3971.797,-9.72044E-05
3971.677,-0.000153649
3971.556,-0.00019442
3971.436,-0.000218696
3971.315,-0.000228366
3971.195,-0.00022618
3971.074,-0.000216576
3970.954,-0.000204621
3970.833,-0.000194884
3970.712,-0.000192069
3970.592,-0.000198593
3970.471,-0.000214689
3970.351,-0.000237572
3970.23,-0.000261581
3970.11,-0.00028029
3969.989,-0.000287442
3969.869,-0.000279594
3969.748,-0.000257342
3969.628,-0.000224525
3969.507,-0.000187697
3969.387,-0.000151926
3969.266,-0.000121121
3969.146,-9.57137E-05
3969.025,-7.47108E-05
3968.905,-5.72519E-05
3968.784,-4.52919E-05
3968.663,-4.31384E-05
3968.543,-5.61254E-05
3968.422,-8.73988E-05
3968.302,-0.000134007
3968.181,-0.00018614
3968.061,-0.000228962
3967.94,-0.00024658
3967.82,-0.000228499
3967.699,-0.000174018
3967.579,-9.40574E-05
3967.458,-8.01836E-06
3967.338,6.44174E-05
3967.217,0.000107202
3967.097,0.000115819
3966.976,9.64308E-05
3966.855,6.43179E-05
3966.735,3.58194E-05
3966.615,2.40891E-05
3966.494,3.47259E-05
3966.373,6.49807E-05
3966.253,0.000106241
3966.132,0.000147604
3966.012,0.000179789
3965.891,0.000196397
3965.771,0.000194308
3965.65,0.000173458
3965.53,0.000135473
3965.409,8.44337E-05
3965.289,2.59116E-05
3965.168,-3.25695E-05
3965.048,-8.24297E-05
3964.927,-0.000117212
3964.806,-0.000133708
3964.686,-0.000133775
3964.565,-0.000124434
3964.445,-0.000114132
3964.324,-0.000111647
3964.204,-0.000121187
3964.083,-0.000143215
3963.963,-0.000174118
3963.842,-0.000208992
3963.722,-0.000243401
3963.601,-0.000274859
3963.481,-0.000302872
3963.36,-0.000326546
3963.24,-0.000344093
3963.119,-0.000351973
3962.999,-0.000345649
3962.878,-0.000322407
3962.758,-0.000283104
