03/04/2022 20:59,
9.9,
32,
,
wavenumber / cm-1,Absorbance
3999.881,0.005247033
3999.76,0.005263936
3999.639,0.005249951
3999.519,0.005216482
3999.398,0.005181171
3999.278,0.005160617
3999.157,0.005166451
3999.037,0.005201224
3998.916,0.005257731
3998.796,0.005322397
3998.675,0.005379456
3998.555,0.005417567
3998.434,0.005430451
3998.314,0.005419748
3998.193,0.005391634
3998.073,0.005354599
3997.952,0.005314883
3997.832,0.00527554
3997.711,0.005236703
3997.59,0.0051972
3997.47,0.005157465
3997.349,0.005121757
3997.229,0.005096412
3997.108,0.00508974
3996.988,0.005108213
3996.867,0.005152838
3996.747,0.005219265
3996.626,0.00529724
3996.506,0.005374558
3996.385,0.005438805
3996.265,0.005481585
3996.144,0.005499202
3996.024,0.005493128
3995.903,0.005468801
3995.782,0.005432732
3995.662,0.005392003
3995.542,0.005352351
3995.421,0.005317768
3995.3,0.005290197
3995.18,0.005269637
3995.059,0.005253673
3994.939,0.005237877
3994.818,0.005217354
3994.698,0.005188817
3994.577,0.005152067
3994.457,0.005112001
3994.336,0.005077001
3994.216,0.005058161
3994.095,0.005064195
3993.975,0.00509906
3993.854,0.005158404
3993.733,0.005230969
3993.613,0.005301534
3993.492,0.0053549
3993.372,0.005381201
3993.251,0.005378182
3993.131,0.005350741
3993.01,0.005307739
3992.89,0.005258301
3992.769,0.005208601
3992.649,0.005159678
3992.528,0.005110157
3992.408,0.005058429
3992.287,0.005006339
3992.167,0.004960287
3992.046,0.004928953
3991.926,0.00492101
3991.805,0.004940347
3991.685,0.004983413
3991.564,0.005039758
3991.443,0.005094132
3991.323,0.005131715
3991.202,0.005143919
3991.082,0.005129502
3990.961,0.005096009
3990.841,0.00505568
3990.72,0.005023132
3990.6,0.005009691
3990.479,0.005021825
3990.359,0.005060407
3990.238,0.005121858
3990.118,0.005199916
3989.997,0.005286206
3989.876,0.005371573
3989.756,0.005446388
3989.635,0.005499705
3989.515,0.005523061
3989.395,0.00551135
3989.274,0.005465244
3989.153,0.005391835
3989.033,0.005305424
3988.912,0.005223491
3988.792,0.005161455
3988.671,0.005129636
3988.551,0.005129402
3988.43,0.005153509
3988.31,0.005189454
3988.189,0.005222619
3988.069,0.005242439
3987.948,0.005244216
3987.828,0.005230164
3987.707,0.005206019
3987.586,0.005179395
3987.466,0.005156023
3987.345,0.005137616
3987.225,0.005123568
3987.104,0.005112605
3986.984,0.00510419
3986.863,0.005101139
3986.743,0.005108045
3986.622,0.005129569
3986.502,0.00516739
3986.381,0.005218293
3986.261,0.005273494
3986.14,0.005320115
3986.02,0.005345609
3985.899,0.005341382
3985.779,0.00530519
3985.658,0.005243109
3985.538,0.005166787
3985.417,0.005091853
3985.296,0.005031646
3985.176,0.004994809
3985.055,0.004983514
3984.935,0.004993803
3984.814,0.00501673
3984.694,0.005042339
3984.573,0.005063324
3984.453,0.005075023
3984.332,0.005078074
3984.212,0.005075794
3984.091,0.005072811
3983.971,0.005073615
3983.85,0.005079012
3983.729,0.005087762
3983.609,0.005095272
3983.489,0.005096144
3983.368,0.00508622
3983.248,0.005064597
3983.127,0.005034965
3983.006,0.005006004
3982.886,0.00498901
3982.765,0.004995848
3982.645,0.005035602
3982.524,0.005111968
3982.404,0.005221177
3982.283,0.005351747
3982.163,0.005487189
3982.042,0.005608811
3981.922,0.005698236
3981.801,0.005742049
3981.681,0.00573426
3981.56,0.005676516
3981.439,0.005577228
3981.319,0.005450716
3981.198,0.005314648
3981.078,0.005185363
3980.958,0.005077471
3980.837,0.005000507
3980.716,0.004958645
3980.596,0.004950535
3980.475,0.004970878
3980.355,0.005012908
3980.234,0.005070196
3980.114,0.005138153
3979.993,0.005214336
3979.873,0.005297374
3979.752,0.005385662
3979.632,0.005474304
3979.511,0.005555614
3979.391,0.005618947
3979.27,0.005654058
3979.149,0.005652951
3979.029,0.005614416
3978.908,0.005543599
3978.788,0.005453065
3978.667,0.005357786
3978.547,0.005272354
3978.426,0.005207227
3978.306,0.005166083
3978.185,0.005145965
3978.065,0.00513936
3977.944,0.005138019
3977.824,0.005135068
3977.703,0.005127055
3977.583,0.005115119
3977.462,0.005102647
3977.342,0.005094467
3977.221,0.005094165
3977.101,0.005103251
3976.98,0.005120718
3976.859,0.00514345
3976.739,0.005167793
3976.618,0.005189689
3976.498,0.005206824
3976.377,0.005218226
3976.257,0.005225134
3976.136,0.005229259
3976.016,0.005232847
3975.895,0.005236905
3975.775,0.005240191
3975.654,0.005239621
3975.534,0.005230801
3975.413,0.00521068
3975.292,0.005178724
3975.172,0.005138689
3975.052,0.005098725
3974.931,0.005069157
3974.811,0.005059033
3974.69,0.005073146
3974.569,0.005109051
3974.449,0.005157968
3974.328,0.005207629
3974.208,0.005245222
3974.087,0.005263064
3973.967,0.005260112
3973.846,0.005242506
3973.726,0.005219567
3973.605,0.005200218
3973.485,0.005190158
3973.364,0.005189354
3973.244,0.005194048
3973.123,0.005198307
3973.002,0.005198508
3972.882,0.005194517
3972.761,0.005189186
3972.641,0.005186436
3972.52,0.005188515
3972.4,0.005194182
3972.279,0.005199682
3972.159,0.005199682
3972.038,0.005190628
3971.918,0.00517356
3971.797,0.005153744
3971.677,0.005139092
3971.556,0.005136476
3971.436,0.00514962
3971.315,0.005176444
3971.195,0.005210379
3971.074,0.005242506
3970.954,0.005265378
3970.833,0.005274165
3970.712,0.005268866
3970.592,0.005251393
3970.471,0.005224698
3970.351,0.005190494
3970.23,0.005149116
3970.11,0.005099898
3969.989,0.005043847
3969.869,0.004984084
3969.748,0.004926472
3969.628,0.00487919
3969.507,0.004848732
3969.387,0.004839752
3969.266,0.004851881
3969.146,0.004881602
3969.025,0.004922149
3968.905,0.004966722
3968.784,0.005010127
3968.663,0.005049345
3968.543,0.005082968
3968.422,0.005112169
3968.302,0.005137348
3968.181,0.00515998
3968.061,0.005181004
3967.94,0.005201392
3967.82,0.005222384
3967.699,0.00524388
3967.579,0.005264875
3967.458,0.005282382
3967.338,0.005292612
3967.217,0.005291438
3967.097,0.005277217
3966.976,0.005251292
3966.855,0.005218595
3966.735,0.005186336
3966.615,0.005161522
3966.494,0.005149284
3966.373,0.005149988
3966.253,0.005159745
3966.132,0.00517128
3966.012,0.005177885
3965.891,0.00517413
3965.771,0.00515884
3965.65,0.00513376
3965.53,0.005102949
3965.409,0.00507023
3965.289,0.005036942
3965.168,0.005002618
3965.048,0.004964946
3964.927,0.004921781
3964.806,0.004873024
3964.686,0.004821693
3964.565,0.004772646
3964.445,0.004732146
3964.324,0.004704311
3964.204,0.004690578
3964.083,0.004688602
3963.963,0.004692889
3963.842,0.004697578
3963.722,0.00469798
3963.601,0.004692722
3963.481,0.004684583
3963.36,0.00467976
3963.24,0.004685085
3963.119,0.004705785
3962.999,0.004743535
3962.878,0.004795058
3962.758,0.004852317
3962.637,0.004904724
3962.516,0.004942458
3962.396,0.004959684
3962.275,0.004956735
3962.155,0.004940581
3962.034,0.004923423
